bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
108203	14	190.67	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
108258	8	60.00	0.00	0.68	0.05	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
108263	19	71.33	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
108372	19	71.33	0.87	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
108740	14	197.00	0.89	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
108783	19	40.00	0.94	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
108840	6	8.00	0.76	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
109104	2	102.33	0.00	0.50	0.38	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
109646	18	0.00	0.96	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
109963	18	73.33	0.95	0.01	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
110563	19	6.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
